,0
0,1.8431737011910652
1,2.4707533747944956
2,-2.8029453638249477
3,-0.7061973037865361
4,0.16642319362018584
5,-1.0817257159025342
6,1.1901604679012898
7,-2.9353841575054584
8,-3.6335161045449174
9,0.12222442409825837
10,-0.23839871846932834
11,2.232428216892338
12,-3.85177424923396
13,-0.28676919771880205
14,-4.672329486739781
15,1.9603426699768458
16,-3.9161307338923903
17,1.1099938044600033
18,0.8472579131903244
19,-3.3855305862577922
20,-2.5940948605789718
21,0.6414214099462336
22,0.14778846667281242
23,-2.0937756664481975
24,2.1117670468735903
25,-0.4613105744320919
26,3.827078848364015
27,0.7900639901529631
28,1.0954049410711035
29,2.1745132820830424
30,-0.8598537781329356
31,-0.4324553919939004
32,3.529706487672826
33,3.3445066892637345
34,-1.4165274761928701
35,-0.971865788833133
36,0.876232962882254
37,-1.1627787922635826
38,0.8656771541996187
39,0.9710845054745065
40,5.970717255862966
41,-6.268332395226681
42,1.9497501240175772
43,0.9354070714012126
44,-0.9568630954970698
45,2.0110251852949723
46,0.35434119715680157
47,2.9934654714881748
48,1.788143456435479
49,-1.926310239715604
50,-3.8871701534366174
51,1.186737341028017
52,-2.042425717337835
53,3.0939756894656885
54,-1.4620639639961355
55,3.944415231009101
56,-0.02399593063871258
57,-3.5805394324209696
58,-0.7067299233103465
59,-4.150466558592865
60,4.227600026863838
61,1.1373097544678274
62,-0.05009673539356063
63,1.6348183679024801
64,-3.177357443016068
65,-0.8815988849886545
66,1.9620991116324689
67,2.7597429458004292
68,-1.8025866399428274
69,-1.2190696605228162
70,1.226059826426166
71,-2.5907355239309173
72,3.3171170766118494
73,-1.8845979501804815
74,-0.6425320473758768
75,-1.4867708173525513
76,-0.255082554332253
77,2.2405616184631216
78,-0.4334627061714952
79,1.4203104132876798
80,0.6660808919444816
81,-1.1970858987033914
82,0.20772679747789027
83,0.14584284460664265
84,-0.6049386497646464
85,0.3781988594563678
86,-0.982777008480574
87,-1.8716525724999336
88,1.4375377661141153
89,-1.5719660613214412
90,-1.8537728670068103
91,-1.5164807632523347
92,2.836593486581889
93,-0.9898717272558126
94,3.204297820914533
95,1.8164174030585925
96,0.9208695576836793
97,0.433716315291167
98,-1.8755779243770927
99,-1.0423549804107224
100,-0.49569122611023597
101,-0.4754567138291777
102,-2.118157805517658
103,-2.6966635536855104
104,-4.014820957161933
105,-3.7506561851504197
106,-1.4836279175005436
107,-2.532509705007193
108,1.8101397166955655
109,-2.934380795727986
110,2.2041074512879675
111,2.2643501389400007
112,1.289577046142546
113,2.021062166494515
114,-3.428096684371212
115,-0.6915437921945345
116,-3.2361490009043803
117,-0.893746390039674
118,1.579151978165378
119,3.147434403481866
120,5.312353099268082
121,-2.2836103425524135
122,1.5103269648998467
123,-2.103245620386408
124,5.239274960666961
125,-1.3482381457246497
126,-1.0824735303216677
127,2.104144701462714
128,-2.968193785020294
129,-1.475530172310637
130,-1.1958791607106303
131,2.1058333797506705
132,-3.1705763466288746
133,-4.220185251213346
134,0.07388720839351381
135,-1.4397139440264897
136,2.1056203009469128
137,-2.1239199534621322
138,-2.927920133318408
139,1.0668280963264114
140,1.2838539830563551
141,1.0371205841535558
142,1.1734540502449187
143,-1.617187457983442
144,1.7283672836139583
145,-4.042822458042546
146,-1.39469841152142
147,-2.0909613628567847
148,-1.8258371881903628
149,-0.1703731845116595
150,3.522290814923819
151,4.926521766634816
152,3.985299573990619
153,0.6375344028662585
154,1.1285856921327402
155,1.9888961827994691
156,-2.7349348698671228
157,0.38628256998242383
158,-1.1729701928372502
159,-1.3384601880207556
160,-0.6792645643657136
161,-0.7143036956604334
162,-0.2886232819161101
163,1.8743860134406165
164,1.8985370046272174
165,1.153387966929706
166,-1.4990788066212621
167,1.5843276013352552
168,2.3892671929673783
